Interactor 1	Interactor 2
msn	ics
hop	Ptp61F
Fmr1	orb2
sog	Gyc76C
Fmr1	RanBPM
Slik	hep
cindr	Cbl
norpA	Osi21
cindr	chic
Torsin	Dd
DCTN1-p150	EG7
Galt	Gale
Trap1	dve
Snr1	JMJD5
H	EP1410
Rho1	lilli
z	Taf9
dpp	tld
Syx7	puc
rg	Ras85D
nmo	mthl8
Egfr	dind
Bx	su(Hw)
faf	Prim2
Vps26	Su(dx)
wor	CycE
Pi3K92E|btl::Egfr	bsk
sick	ssh
dx	Atg4b
hep	sgg
tor	Su(tor)1-163
pnr	ush
Pink1	glo
spi|Krn	vn
sky	dor
norpA	rdgA
Su(var)3-3	Kdm5
Nazo|CG3740	Lsd-2
Pink1	fwd
CycE	l(1)air10
lt	Su(var)2-1|Su(var)208
rl	Ras85D
serp	emp
hh	Ten-m
upd1	pAbp
Srrm1	Doa
ninaE	pygo
Gug	DnaJ-1
cnk	Prp19
Mnat9	yki
spi	ovo
mt:CoI	Letm1
pcx	Hsc70-3
Ddrgk1	S6k
Sb	E(f)
Ras85D	Btk
Ras85D|dlg1	pnt
botv	gbb
TrpA1	Hug
sl	InR
Delta|Not3	CycB
Npc1a	Tsc1|gig
Abd-B	lin
hpo|ci	yki
MFS10	PXo
Dsor1	hh
Atg1	bs
lncRNA:acal	aop
Asciz	ctp
cactin	aPKC
nopo	lok
Itpr|Gαq	Plc21C
hiw	tkv
Abl|Nrt	ena
sd	Ncoa6
cindr	Abl
dom	Delta
mtm	14-3-3ζ
Bub3	stg
grim	Nct
scrib	yki
smo	E(smoDN)2070
Nazo	bmm
Pi3K92E|btl::Egfr	Mmp1
Pink1	dj-1β
para	shi
Atg9	bsk
Rnf146	Axn
Csk	Arpc1
Vap33	fwd
Pi3K92E|btl::Egfr	scra
Dad	Rho1
Arr2	norpA
Ret	l(3)j5B6
Nsf2	por
ap|Bx	Pcif1
Past1	N
Dg	CG6700
Orp8	Arl6IP1
eas	SLO2
Sdc	Lar
sev	rin
CycE	S(CycE<up>JP</up>)2.9
vtd	Atg1
phyl	mib
hid	NetA
Pink1	Trim9
Antp|Pc	vtd
Delta	Cam
asf1	Sin3A
w	HPS4
mts	foxo
fy	mwh
Poxm	CycE
dpr6	DIP-α
Kdm5	tor
Sxl	Su(Sxl<up>fs</up>)46
Smn	CG10561
shtd	Diap1
Myt1	CycB
enok	Delta::N
shot	kay
sd	ebi
Ras64B	tkv
dlg1	Iswi
Sce	Socs36E
gro	Egfr
kcc	tau
Rbfox1	sens
Ras85D	Tmlh
ND-42	Cat
nej	rho
btl::Egfr	sqh
raw	tkv
Gαo	Gγ1
vtd	bsk
Dys	vimar
Cftr	mir-bft
bwk	BicC
Mnn1	kay
ph-p	dpp
CycE	Egfr::tor
y|sc	e(y)2
YME1L	Dark
α-Cat	sqh
sev|Sos	ast
Pc	Kdm2
Itpr	NUCB1
faf	Ras85D
flw	bsk
Egfr	psq
ash1	Kdm2
Drak	flw
if	by
ci	pb
RpS3|yki	puc
CycE	S(CycE<up>JP</up>)3.2
SkpA	bsk
peb	dve
bond	Pex10
piwi	dpp
wg	Hipk
ph-p|y	su(Hw)
hep	tsr
E2f1	eff
Chchd2	Drp1
Nsf2	Syn2
hng1	Dlip3
hep	arm
αTub84B	pins
ld	opht
Delta	Hsc70-5
pnr	Hsp22
ND-42	Fatp1
Pink1|Tsf1	mfrn
His2Av	dom
bs	tx
Dref	l(2)k06506
GluRIIA	gsb
Nuak	NdufA3
CycE	Dp
lic	puc
Nsf2	comt
S	cno
Cul2	dpp
sl	Itpr
upd1	Cdk4
atos	pths
brat	grh
hid	Corp
Delta|lola|psq	Not3
αTub67C	swa
ksr::tor	MESK1
Fancm	mus312
ash1	Caf1-55::MRG15
rpr	abs
nkd	hry
baz	fj
Gαq	stac
NaPi-III	futsch
Smox	Spn100A
kay	cnk
Invadolysin	blw
wg	slp1
cindr	Vav
Dp|E2f1	E(E2f)2B
y|mod(mdg4)	lawc
Pp2B-14D	CE3-1
GluRIIA	Eph
N	ed
Delta	E(Delta)D165
p53	dap
mnb	foxo
kni	Bap170
cmb	in
vg	836
Bub3	upd3|upd1
sli	shot
mei-9	mei-218
Wdr62	aurA
B-H1	aop
upd1	bun
sina	CE3-1
ct|lncRNA:flam	AGO2
p53	Atg1
tup	vvl
N	Pink1|Su(H)
dgo	Mlp84B
Daxx	Diap1
Dg	Sema1a
ct	CG14757
foxo	futsch
PPO1	lz
gl	hh
bif	Amph
scrib	Diap1
st	cn
gig|Rbf	Dronc
dia	spi
sgg	Nulp1
l(2)gl|Ras85D	wupA
dpp	Su(dpp)YE31
ash1|trx	Scm
stumps|btl	Rho1
Ets21C	Pvf1
pall	Rac2
ftz	E(ftz)4038
Wee1|Myt1	N
Rbf	Atg1
trx|brm	dom
slpr	hep
Su(fu)	fu
hh	Su(hh)VI
Lpt	Dcr-2
blw	Dp
Hr51	S6k
kay	Sema2a
raw	zip
park	Ucp4A
E2f1	cass
Torsin	Cnep1r1
egr|CtBP	kay
Kdm5	shg
ND-42	lap
Wnk	Awh
Polr2B	su(RpII140<up>Z36</up>)S2
Pten	eIF4A
svp	phyl
Ipp	Psn
trx	mod(mdg4)
rpr	Sfmbt
RpL30	Dp
Dg	Nbr
Liprin-α	trio
Dora	ena
SH3PX1	Ras85D
Gfrl	Fas2
Pink1	chico
Pss	Pisd
cactin	Sec23
mod(mdg4)	Su(mg)1-4
ix	dpp
Yif1	Nrg
pnt	Ras85D
ss|Pc	trx
kis	InR
PDZ-GEF	Ras85D
not	Prosβ6
E(Pc)	htt
grk	CSN5
Snr1	CG8243
RpS3	Strica|Dronc
sgg	gskt
E2f1|Dp	mir-ban
Ras85D	EY3-4
Adck1	Mitofilin
Ras85D	kay
Mt2	htt
Pkc53E	norpA
lz	E(lz)178
Myc	Keap1
H	hv
fru	eve
Chro	pros
Cul1	UbcE2M
dco	dachs
Decay	Atg7
fzy	bsk
N	Catsup
Elp6	Akt
Su(var)3-3	raw
Ser	Kap-α3
TBPH	Pld
Strica	Dronc
ttk	lilli
smo	E(smoDN)O
trio	Rac1
polybromo	Su(var)3-3
Psn	Ras85D
egr	dsh
lz	Hsp83
hry|gro	CtBP
Vhl	ple
mys	jbug
DAAM	Rac1|Mtl|Rac2
Myc	Pdha
crol	Myc
brm	dpp
HDAC6	htt
path	pum
Imp	E2f1
fray	Irk1
sha	frtz
Pink1	Fer1HCH
Dys	l(2)k09848
Snr1	E(z)
Dg	msk
Axn	salm
Ras85D	ER3-4
egr	Ire1
Egfr|scrib	psidin
Apc	ebd1|ebd2
H	hep
Polr2B	su(RpII140<up>Z36</up>)S17
Myb	E2f1|Dp
wg	CtBP
wg|spen	nito
ac	klu
hpo	Rox8
mbt	Src42A
numb	H
DCTN1-p150	S
Delta	Ni-K
kn	CG14642
bw	LAS110
Shrm	Tm1
Cad99C	Prtl99C
Delta	ara
dup	mir-8
Pc	brm
dac	ph-p
plum	babo
Madm	brp
w	lncRNA:let7C
psh	modSP
spz	cic
Myb	stg
mbl	Dcr-2
Pink1	TER94
Ras85D	dco
vito	bsk
rho	shrb
ninaE	sip3|sordd1
Nsf2	nej
wake	Hmgcr
numb	brat
upd1	tkv
ZnT86D	ZnT63C
mi	l(2)dtl
Swg	para
hiw	RagA-B
Bub3	rpr
tow	sqh
rpr	upd1
Dp|E2f1	Pc
Fas2	rl
vg	dpp
Tm1	E(To)6
smo	E(smoDN)1419
rux	Ras85D
Ras85D|POSH	wts
Ras85D	bul
N	anon-IX
jus	E(sda)G
Dfd	WC1
foxo	mor
Apc2|Apc	Diap1
net	S|ast
hng1	hng3
LamC	GstD9
park	Cat
His1	bsk
spz5|NT1	kek3
yki|pnut	bsk
arm	Egfr::tor
Ubqn	rho
Mical	Pi3K92E
Bub3	puc
pbl|Sema1a	PlexA
tum	rho|vn
Zip71B	Catsup
Gyc76C	Sema1a
Camta	Arr2
Delta	E(Delta)F25
N	Sin3A
Dp|E2f1	ksh-18
fng	Sik2
nmo	Ptp99A
egr	wal
sky	TSG101
kis	bsk
park	Trap1
Ras85D	chic
Xpd	CycE
htl	btl::Egfr
uif	dx
Shrm	Eb1
axed	drpr
pnr	Sin3A
hop	Rho1
egr|mirr	CtBP
hh	bi
ato	Delta
Ras85D	Sec8
Drak	sqh
Klc	Appl
CycE	ptc
Pi3K92E|btl::Egfr	Mmp2
dpp	Su(hh)IV
yki	Ncoa6::sd
Pink1	Tom7
Pka-R1	dnc
Hipk	arm
dec	dec::Dvir\dec
ap|Bx	EP3-1809
aos	Vav
Rab8	kay
tna	mor
stnA|stnB	Syt1
Sos	sev
pum	Diap1
pon::pins	insc
rdgA	wun2
Ppt1	Naa60
crb	Pak
cnk	swm
Clk	Gart
pbl	wdb
gcm	mid
spn-B	eIF1A
LamC	Atg1
Poxn	Myc
kni	neb
Pp2B-14D	RasGAP1
Apc	sgg
Duox	Nadk1a
Sb	zip
hid	Duba
CycE	S(CycE<up>JP</up>)68S10
E2f1	sgg
Dab	ena
egr	CtBP
fzr	sn
ttm50	PPP1R15
aos	Edem2
Ret	l(3)S016805
ash1	htt
Mitf	CtsL1
Bx	drpr
dlg1	Def
tup	ush
w	Gug
faf	pnt
shot	Rho1
spin	wit
N	Dsor1
Erk7	sug
Ras85D|p53|CycE|Med	Dsor1
gfzf	GstS1
okr	Hus1-like
pim	fzy
btl|stumps	bol
Slmap	stv
CG41099	wit
rpr	CG3251
sky	Hrs
Dref	Xbp1
hid	RasGAP1|Ack
tna	Sumo
Syx1A	EP364
brm	Polr2B
dom	asf1
H	dsh
Polr2B	su(RpII140<up>Z36</up>)S12
mys	blo
Marf	Cs1
park	GIIIspla2
Egfr	CSN5
Ask1	e
Cen	cnn
dsh	zip
aurA	polo
RYBP	Dredd
Atg16	sli
brm	Rip11
rpr	Idh
mi	mir-929
trx|ash1	esc
Snr1	tsg
Nab2	Wnt4
Mmp1	Tb
Hinfp	His1:CG33864
Rbf	hid
fwe	puc
Gmap	cos
TfAP-2	N
stet	tkv
SiaT	Csas
pk	faf
SerT	Pi3K92E
Hph	mRpL12
Src42A	bsk
Sirt1	bsk
scrib	kay
px	rho
Pi3K92E|btl::Egfr	S6k
dpp	nej
ex	mir-ban
Blm|Gen	spn-A
Pten	sev
pdm2	numb
tkv	p38b
spdo	N
Spn77Ba	Spn27A
Pink1	crc
p53	Ras85D
z	w|Low
velo	pira
Nup358	Nup358::RanGAP
hep	park
Pten	dx
Myb|lin-52	mip130
LamC	Atg8a
dlg1	egr|Tl
Shrm	ena
caz	TER94
B-H1	Sos
eys|prom	Mbs
Su(var)3-3	en
fz	Delta
Raf	Phb1
Smn	eIF3m
hpo	Uba1
ben	Tak1
Egfr::tor	ebi
pic	mahj
faf|lqf	eff
Nup44A	RagC-D
ft	Tao
Prosβ2	Atg12
Marcal1	z
dpp	so
tin	zfh1
hid	spoon
RacGAP84C	Dp1
DAAM	Vang
rl	Su(var)205
Bx	Fpps
sky	Rab5
mod(mdg4)	Su(mg)2-1
upd1	dind
Myc	Atg18a
Ppt1	faf
nod	mwr
CycE	S(CycE<up>JP</up>)E9S1
BicD	smg
Polr2B	su(RpII140<up>Z36</up>)S7
Delta	E(nd)195
Sox100B	Egfr
HDAC3	Snr1
park	Uch
Vha44	egr
noc|elB	N
Rbf	Ets97D|srl
chb	Abl
Ras85D	His2Av
m	m::tyn
RhoGAP92B	gbb
Rae1	Atg1
Chmp1	kek1
Dif	dl
ph-p|Pc	Su(Pc)35CD
mus304	tefu
bcd	tsl|osk
Pvf1	hep
bw	CG8036
Pten	FASN1
Cul1	chico
esg	mir-310|mir-311|mir-312|mir-313
egh	Pten
ptc	Usp8
Antp|Pc	osa
pbl	Men-b
comt|SERCA	Sh
ninaE	sordd2
H	cno
Psn	Spt5
hop	CG1572
rdgA	trpl|trp
Hipk	bsk|yki
Pc	Sirt1
Snr1	Pcyt2
chb	Su(z)2
Cln7	Dad
dlg1	Cat
Rac1|Rac2	btl
Ogg1	RpS3
dpp	puc
Shrm	chic
RacGAP84C	C3G
sli	kuz
ksr::tor	Lk6
CycE	S(CycE<up>JP</up>)2.8
N	Marf
fu	Dad
Dsor1|fs(1)M3	rl
grim	Dark
sog	Med
Pink1	srl
Son	Rga
NetA	fra
mTor	SREBP
comm	robo1::robo2
yki	14-3-3ζ|14-3-3ε
bul	soba
ND-42	Ldh
tum	aos
Ide	foxo
hop	CG13559
Bar	trr
krz|dx	Traf6
Delta	HINT1
btl|stumps	Eip78C
mtm	Rok
Delta	Atg4b
pnut	yki
Mef2	CycE
pnr|CtBP	HDAC1
mod(mdg4)|brm|y	trx
Mitf	gig
Rel	Socs36E
mew	if::mew
Uvrag	pan
dsh	dlp
bnl	sfl
vir	msl-1
Itpr	Orai|Stim
mir-305	Pi3K92E
Lapsyn	rut
sgg	glob1
Delta	E(Delta)F14
Pink1	pum
pbl	Ack
Dsp1	Pc
kay	LamC|dia
ninaE	Dark
shot	Cdk2
awd	Rab5
Ppt1	Cisd
Tom40	Atg5
chb	Su(dx)
Tom40	Diap1
Diap1	pcm
pnr	Eaf
hh	wg
Dg	robo2
Pex19	Hnf4
vg	2335
Pp2B-14D	sl
ap|Bx	EP2-1080
Ras85D	chb
Jra|kay	Pde8
Mlp84B	tn
faf	E(faf)bE184
Klp61F	Spc105R
tsr|Pc	ssh
br	E(br)160
Zyx	ena
Cap-H2|glu	slmb
Lsd-1	Diap1
VGlut	GluClα
Atg12	sqa
Ser	rn
sicily	out
mir-279	pros
Snr1	Eip75B
Rab21	yki
Rop	shi
Vang|shg	dgo
wg	simj
Rbf	srl
Ras85D	mts
L	CBP
sev|Sos	ttk
Pi3K92E|btl::Egfr	RIOK1
Kr	Fer2LCH
Pp2B-14D|CanB	sl
Sk2	Calx
Dys	l(3)L4092
rdgA	Nmnat
Rheb	wnd
scrib	SERCA
Sin3A	Gcn5
otu	CG15930
Arf6	dsh
His4	His4r
Raf	ER2-4
Eaat1	bsk
Dcp-1	Atg1
ttk|hry	sc
Pc	osa
Hs6st	Papst2
InR	Ras85D
Ptpmeg	RasGAP1
Psn	opa
Antp	mer-on-3
pbl	grp
hb	pdm2
pnr	ckd
sev|Ras85D	mam
H	lola
hep	ena
Dfd	hh
cindr	ari-1
raw	bsk
ncd	sub
nvy	sens
step	dia|zip
βTub60D	pins
tou	osa
tor	Btk
Acn	PpD6
PGRP-LF	imd
cindr	Rac1|Mtl|Rac2
CkIIα	CkIIβ
rpr	Psc
ci	Cad99C
Gba1b	per
Lamtor3	corto
lola	robo1
Raf	Phb2
H	baz
Usp47	Su(var)2-1
Bx	brm
spz|spz5	NT1
bchs	Rab32
ND-42	GLaz
Kr	l(3)neo47
dom	CG11723
Pi3K92E|btl::Egfr	Rho1
Pink1	Pi3K21B
Brca2	mei-P22
cindr	CG10916
wg	eRF1
egr	HUWE1
tant	Asx
kcc	eas
aperC	aperA
S6k	Trpm
sens	E(z)
InR	Delta::N
y	e(y)6
Psn	cher
Prosβ6	Atg2|mask
rdgB	trp
mod(mdg4)|trx	ash1
mle	Khc
smi45E	Pino
Hsp60D	Uba2
vn	brm
Pvr	EP1207
pbl	Dp1
Ptp52F	Ptp69D
Delta	YL-1
trx|brm	mod(mdg4)
gbb	shn
ro	lilli
Sox21a	Egfr
Dronc	Usp15-31
aux	Egfr
Sb	LIMK1
Srrm1	Dronc
sei	Syt4
Ctps	SREBP
Hipk	N
Delta	Mnr
brm	Sik2
phyl	lilli
Wnt4	Wnt5
CG12084	CycE
trx	dom
trc	MED1
uif	kuz
Psn	hh
Mhc	para
smo	CkIIα
Dcp-1	Atg3
Pc	upSET
mv	Rab5
Vap33	tkv
Ret	bsk
Nf1	Dap160
Vps35	N
Madm	Thor
cta	Gprk2
HP1b	Egfr
wg	Syx13
Tm1|osk	E(To)1
mio	mei-P22
dpp	pelo
Su(fu)|fu	sauf
rpr|hid	Diap1
ZnT63C|Zip42C.1	Zip89B
Pkn	cpb
Rabex-5	Ras85D
Vps35	Delta
mys	stck
elav	ewg
vn	bs
GluRIIA	Exn|Eph
sls	cher
Dys	l(2)k04222b
msl-1|msl-2	Polr2A|lncRNA:roX1
N	pnt
upd3	Ras85D
Wnt5	uzip
Ras85D|scrib	InR
arm	ovo
wg	dsh
su(Hw)|ct	Chi
Ras85D|l(2)gl	Src42A
Vang	pwn
HnRNP-K	TBPH
Myc	cnc
tok	sli
Pax	tsr
Ras85D	unc-5
Ras85D	Alg-2
hry	pyd
osk	Su(osk)E2
crb	yki
kn	hh
Sin3A	Jra
Nf1	amx
Syx7	Tak1
lola	Tbh
if	RpL19
Nf-YB	sev
spdo	numb
Pi3K92E|btl::Egfr	Max
p53	Myt1
rg	H
cact	Adgf-A
ct	wde
E2f2	Orc2
sra	Diap1
E2f1	esc
ss	dan
pbl	CHES-1-like
Rac1|Rac2	bnl
gnu	CycB
sd	Pc
run	M(3)65F
hpo|Dronc	Dark
mxc	corto
egr	apt
Dok	puc
Axud1	puc
mir-ban	Pi3K92E
Tao	Fas2
velo	Ulp1
Nsf2	Bacc
lqf	spen
caup	CycE
Rel	spz
Rab5	Rab11
Pi3K92E|btl::Egfr	raptor
Kr	Kr-h1
Pvr	skd
EcR	CycE
Raf	ER2-1
NT1	Toll-7
ex|mtm	Pi3K68D
Sod2	Ogg1
p53	okr
peb	l(2)k00605b
tefu	Mekk1
hng1	stwl
Delta	Not1
sei	rut
tkv	coro
cindr	CG5555
Rho1	PlexA
shg	mor
fra	drl
Smox	Pten
Lpt	Utx
upd1	sqh
Rbf	Axn
jing	spi
pbl	Gαf
park	mask
Strip	Tak1
brm	tna|tara
mats	Mnat9
aop	EY2-6
InR	Tsc1
Marf	GLaz
wts	Tgi
pyd	shg
Delta|lola|psq	ato
Caf1-105	H
norpA	Rel
dpp	spen
dpp	cype
wake	Pdf
RacGAP84C	Traf6
pnr	lap
sli	Abl::Hsap\ABL1::Hsap\BCR
chb	aop
brm|trx	sxc
Cat	Lsd-1
Pi3K92E|btl::Egfr	Pfk
Chchd2	park
ova	Su(var)205::Su(var)3-3
Ras85D	Hinfp
Snr1	GluRIIA
Egfr	E(Egfr)B56
Sxl|snf	vir
su(Hw)|w	esc
snRNA:U12	Fas3
Nab2	stai
grim	Akt
S6kII	Raf
Opa1	PPP1R15
bw	Mod(Prat:bw)2-4
Pi3K92E	RIOK1
Nak	AP-2α
para	Rab5
Marcal1	Pc
RacGAP84C	Dlat
N	E(Egfr)C22
rl	puc
Socs44A	Ras85D
mbt	ssh
Pka-C1	wg
Egfr|psq	trol
Ptp52F	Lar
Delta	DEF8
Ppt1	Mrp4
Ras85D|dlg1	stg
Pcyt1	Egfr
Csk	tsr
fru	ppk25
noc|elB	mam
unc-104	γTub23C
Nsf2	wg
grim::rpr	Diap2
dgo|shg	Vang
Raf	eya
RhoGAP92B	Cip4
Kdm5	htt
Uvrag	bsk
Antp	pb
hid	klu
wg	Klp64D
unc-5	Nrg
numb	brm
chic	Diap1
Nazo	Lsd-2
M(3)x	H
pnr	esg
dl	Taf1
Vap33	Ada2b
kni	God60D
Ser	wry
tkv	Lis-1
rno|Rbf	E2f1
cindr	Rho1
tgo	sim
Cln3	bol
Trf2	ph-p
hop	CG15211
eas	EP2589
cnk	PDZ-GEF
sea	Acly
Afg3l2	Hsc70-5
Ask1	p38a
CycE	CadN
bs	EloC
Atg1	EcR
Snr1	JMJD6
Itpr	Stim
Syx1A	MESR4
Iswi	casp
ScsβA	ScsβA::ScsβG
ninaE	Hrd3|sordd1
Vps4	Dronc
mys	Delta
trx|brm	JIL-1
Nsf2	N
grim	hpo
Cip4	Cdc42|WASp
mir-305	H
Rbf	arm
Shaw	Sh
Atg1	Atg18a
mrt	Lsd-1
Pi3K92E|btl::Egfr	ImpL2
ci	vg
ptc	tow
Mmp2	Sema1a
Gαo	Dhit
ZnT86D	Zip42C.2
fz	ft
Jarid2	htt
Pink1	ref(2)P|cnc
babo|Hr39	EcR
peb	vri
lola|psq|Delta	Tctp
ap|Chi	ap::Chi
elB	CycE
Rac1	Mad
kay	bsk
msl-1	puc
bsk	ics
Egfr::tor	ed
Vap33	TBPH
SkpA	lok
Axs	lwr
AMPKα	Zw
ctrip	Med
Ras85D|scrib	Akt
Ser	crb
htl::tor	vap
Pdf	robo1
bw	LA2.1
Rel	GluRIIA
ap|Bx	EP3-1199
pnr	akirin
mys	shot
Rae1	Atg18a
Ppt1	gbb
l(3)mbt	aub
dome	CycA
osa	corto
aurB	bam
Ets97D	capu
tai|yki	sd
Cbl	drk
Psn	vg
αCOP	Miro
gish	nmo
dco	dsh
puc	scaf
ea	Tl
pbl	Mtl|Rac1|Rac2
rdgA	inaD
mi	mir-986
Gli	bsk
emc	RpS17
upd1	CCT7
hop	EMC1
CycE	hpo
Delta	Hs3st-B
Piezo	ppk26
N	pk
Lkb1	bsk
Hrs	lilli
CycE	S(CycE<up>JP</up>)42S33
N	mng
Ptp69D	Lar::Ptp69D
btl|stumps	CG10321
hrg	Ser
Pdhb	asRNA:CR43467
Hs3st-B	kuz
ro	Su(ro<up>DOM</up>)923
CtBP	wit
nab	brk
nbs	rad50
Nf1	cnk
btl::Egfr	dock
shot	Rab11
cac	para
egr	Dark
Pvr	Ip6k
DCTN1-p150	spi
Mmp2	wg
Strip	bsk
cic	pnt
pros	esg
ct	CG9270
Egfr	cv-c
foxo	Nos
synr	Atg9
ast	Egfr
brat	bsk
Raf	ER2-7B
Ser	Sik2
Hrb98DE	Parg
γTub23C	Grip91
pths	p53
Dref	p53
yki	rhea
N	PEK
trx|ash1	Trl
put|I-2	Pp1-87B
Ras85D|emei	Stim
Bub3	Ilp8
uif	E(spl)m7-HLH
Pcyt1	N|aos
H	Su(dx)
Atf-2	p38b
Apc2|Apc	ex
Ppt1	Usp12-46
Dcr-1	dap
Dys	Delta
Nmnat	ATP8A
Pi3K92E|btl::Egfr	Ras85D
Rac1	msn
rpr	apt
LamC	Thor
hh	Gprk2
piwi	Tehao
Gk2	bw
Raf::tor	Src42A
ap|Bx	EP2-760
Ras85D|scrib	Atg14
strat	spdo
Tsc1|gig	Cdk4
dup	mei-41
Sin3A	htt
ru	sl
mxc	Mmp2
Nab2	DAAM
danr	N
hkb	fzr
Pc	Bap170|polybromo
Pink1	Thor
sub	BubR1
sesB	shi
hiw	p38a
upd1	sax
Cirl	Tollo
LIMK1	Pak
Rac1	poe
kermit	Cdc42
scrib	Hsc70-3
Ras85D	Ciz1
pic	wts
Nf1	Rab9
L	orb2
drl|Wnt5	Drl-2
Sin3A	Diap1
mamo	nej
Dref	Dll
uif	E(spl)mβ-HLH
Psn	gl
hb	cas
pbl	E2f1
dar1	nudE
Patronin	spas
aurA	aurB
Hmgcr	jhamt
nerfin-1	Su(H)
par-1	sd
Zip42C.1|ZnT63C	foi
Ubx	drl
Delta	Hr38
tor	Su(tor)2-408
sni	per
Pvr	slpr
wg	CG46385
Rbf|Cbl	mir-998
N	dap
H	Diap1
dock	sli
H	ft
esg	sc
lz	en(lz)Y
ptc	mir-14
l(1)sc	Acsl
PGRP-SD	Nox
Gp150	Delta
ninaE	CDase
ptc	rasp
Pkn	flw
Csk	AGO2
brm	kst
shot	Act87E
smo	dpp|eya
Pvr	lilli
Gr59c	Gr22b
nkd	dsh
Pink1	DCP1
smo	TSG101
Pc	pds5
Lrrk	Dp
brat	Spt5
cindr	mura
Rbf	Nos
Rab5	cnc
sev	RasGAP1
Rpp30	Claspin
RpL30	E2f1
Ssdp	Fer2LCH
Pc	gpp
egr	aspr
chb	Vha36-2
dom	pum
sicily	Sln
E2f1	B52
Fatp1	ninaE
l(2)gd1	ft
run	RpL36
egr	grnd
upd1	Phb2
mod(mdg4)	Su(mg)1-7
Myc	Sirt6
Myc	Atg1
ninaE	Gαq
Psn	Delta
Bx	l(3)mbn
Lmx1a	Chi
crb	tai
GluRIIA	PGRP-LC
VhaSFD|rush	sta
fra	Src64B
eve|Rdl	Fas2
fra	fra::unc-5
sc|sisA	msl-1
nkd	nkd::Btau\recoverin
hoip	Tm2
Wee1	rux
Syx7	grnd
meigo	Ephrin
Eogt|Dcr-2	dpy
Polr2B	su(RpII140<up>Z36</up>)S4
Myt1	Cdk1
osk	Su(osk)G71
rdgB	Pld
Pink1	TP53INP
spg	Raf
Apc2|Apc	pygo
Raf::tor	spen
spas	Pak3
Uvrag	Atg5
norpA	w|Vps26
trp	TER94
Ras85D	Lk6
CycE	S(CycE<up>JP</up>)1S3
Dg	wun
tor	csw
Daxx	hep
Tsc1	bam
Tgi	Pits
ash1|trx	Asx
Myt1	Delta
Chmp1	sty
eas	pAbp
shg	stg
dgo	CG18858
Pfdn2	par-6
Rala	neur
tut	pAbp
ds	Myc
p53	Erk7
E(z)	Pp1-87B
RacGAP84C	RhoGEF64C
Ac3	Pdfr
para	Rab30
hid	upd1
kirre	sns
btl|stumps	CG10433
Delta	γTub23C
Dfd	LanA
arm	hid
cact	grk
cindr	WASp
rpr	DUBAI
Ppt1	kay
gus	Fsn
sub	polo
Zip71B	ZnT33D
Atg1	Diap1
Pdk1|Akt	Lk6
Wnt4	hep
E2f1	Scm
drl	cas
mam	emc
unc-5	beat-Ia|Nrg
hpo	Ack
pHCl-2	S6k
TBPH	Hrb27C
sens	lilli
dgo	baz
Pink1	Cisd
Ire1	Atg14
MCU|EMRE	MICU1
Raf::tor	14-3-3ε
Rab11	bsk
Pkn	Rho1
ara	CycE
trc	Ccm3
Myt1	Mgtor
nkd	shi
Tl	gcm
LIMK1	pbl
Tsc1	Tctp
B-H1	Egfr
baz	Roc2
Lam	rl
Dys	Rack1
Psc|Su(z)2	bam
ais	Non1
lt	Su(var)208|Su(var)2-1
prd1	Nrg
Idh	Dark
ClC-b	Trpml
Gbp2	Gbp1
Egfr	RasGAP1
bchs	Lerp
Dcp-1	Usp15-31
mxc	Tl
Myc	GABA-B-R1
L	puc
arm	mor
Dp|E2f1	pjc-16
Atg6	ptc
ato	Ras85D
Pi3K92E	lep
ash1|trx	lawc
pan	ewg
cic	mirr
aop	S
Sema1a	trol
pnr	EP1236
Ae2	Nhe2
Su(H)	E(Egfr)C12
salm	H15
wupA	SPARC
PDZ-GEF	rl
Stat92E	Diap1
upd1	His2Av
Liprin-α	CadN
Hip1	ac
N	krz
Arf6|Dcr-2	ArfGAP3
InR	ImpL2
Nsf2	wech
btl::Egfr	ago
Ras85D|Rala	Rgl
S	chic
smo	E(smoDN)2546
yki	AsnRS
miple1	Egfr
aos	Diap2
AdamTS-A	mys
Ras85D	EM3-1
egg	G9a
WRNexo	spn-A
polo|gwl	endos
SoxN	pan
cpb	chic
ap	CtsF
msk	rl
brm	rept
L	EP1350
Rho1	cyst
Ace	dnc
bw	pita
Dcp-1	SNF4Aγ
sd	tara
14-3-3ε	if
CycE	S(Sev-CycE)D28
sti	AGO1
PTP-ER	rl
scrib	dlg1
Wee1	mei-41
dgo	CG31687
spz|NT1	spz5
shf	shf::Drer\wif1
Ret	l(3)S024329
mAcon1	Pink1
Krn	Ras85D
Rala	hep
w|Pc|su(Hw)	ph-p
Tnks	upd3
Ras85D|scrib	kay
pk	Mks1
Myc	GABA-B-R2
Dad	Dap160
brm	Nrg
Rac1	bur
sd	Bin1
BicD	stau|egl
mir-315	Notum
stan	fred
Myc	shg
msi	sina
Surf1	sima
shi	dgo
grh	fz
Dsor1	mts
Smox	CG9008
lic	alph
vtd	egr
rho|vn	ash2
Delta	jp
kay	XNP
pbl	klg
N	Cdk9|E(spl)mγ-HLH
L	dally
