Interactor 1	Interactor 2
Smox	CG9733
sog	LanA
Chi	Gαs
kon	mtm
E(z)	ash2|ash1
nmo	pan
lola|psq|Delta	Cam
foxo	bsk
b	su(b)
Dp|E2f1	osa
Ssdp	CG2604
peb	px
Gug	Atg1
Usp47	ttk
l(1)sc	mam
Caf1-105	eyg
w	RevIII-7y
E(z)	ph-p
Rab3-GAP	Rab3
CycE	sina
Rho1	rin
peb	Mtpβ
sev|Ras85D	mor
pbl	mir-313
Arf4	Nrg
bchs	Atg6
Nup62	Nup154
vir	Flacc|nito
ebd1	upd3
pnr	EP639
dl	hep
hkb	CycD
Ppt1	tsg
trx|brm	Pcl
asl	Cep97
N	A122
mtm	ft
lola|psq|Delta	ct
btl::Egfr	Shc
bw	Mod(Prat:bw)3-4
wit	tkv::wit
CycE	RasGAP1
apt	slbo
egr	Mkk4
L	CG3308
wg	Wnt4
Ret	drk
N	erm
Gr61a|Gr5a	Gr64b|Gr64e
lqf	aux
Su(Tpl)|lilli	N
shot	kat-60L1
Itpr	Pi3K92E
bi	Stat92E
Delta	Xxylt
Psc	Marcal1
shg	α-Cat::shg
yki	AlaRS
N	eZ6
Alg3	bsk
Src64B	yki
Pc	scf
ATP7	Psn
brk	Dad
smo	E(smoDN)786
Ret	Mi-2
peb	apt
N	Su(Tpl)
trx|brm	upSET
Marf	Sln
park	PEK
Nsf2	Moe
hid	Den1
mir-285	yki
dom	emc
pnr	EP2146a
fz	kay
Tg	hep
Strip	wts
Tom40	ref(2)P
ima	PGRP-LE
Tsc1	S6k
nec	psh
CycB	RPA2
pnr	qsm
Dref	Diap1
dgo	Vang
brm	LpR1
ph-p	RpLP1
hth	rho
EndoGI	mam
Axn	α-Cat|SREBP
sim	Myc
tsr	Prosβ6
Pc|ph-p	E(Pc)17B
pbl	ttk
lok	mura
mr	e(mr)
ro	E(ro<up>DOM</up>)2051
lola|psq|Delta	ato
repo	NimC4|drpr
Ppt1	foi
arm	nito
Itpr	rut
Delta	hh
lawc	Prosβ6
Delta	HERC2
if	csw
Antp	Scr
Dlip3	N
E2f1	Pc
Culd	ninaE
αTub67C	nod
mam	Sin3A
mir-210	AcCoAS
Tm1|osk	E(To)8
rl	cln
N	dgrn
Su(var)3-3	Gfat1
hkb	klar
puc|Moe	Tak1
Rrp4	Mitf
trx|ash1	dom
Spt-I|Dscam1	lace
hh	Asx
mir-14	hh
B-H1	sev
LamC	cnc
Ero1L	PEK
stan	fz
Ras85D	SK2-3
Pld	Vps35
kon	kuz
shg	nkd
Myc	Sin3A
run	lilli
N	su(N)
gsb	ey
grim	Usp15-31
Marcal1	ph-d
peb	l(2)00297
Rho1	Rab11
wake	chico
pnr	EP443
asp	Rel|Dif
CycE	S(CycE<up>JP</up>)59S18
Cul4	yki
scw	sax
rdgB	ninaE
eas	para
GlcAT-P	repo
su(Hw)|w	Scm
Strip	egr
L	hyx
nanos|Tao	hid
cnk	Rap1
spn-B	Lnk
Ser	tsh
Arms	dl
Snmp1	ninaD
Mnat9	kay
robo1|sli	Nedd4
ph-p	daw
Ras85D	eg
Pi3K92E	Tl
Ras85D|dlg1	yki
mir-310|mir-311|mir-312|mir-313	arm
if	msk
dome	Ras85D
ninaE	Mat1
Sin1	mew|mys
Dp|E2f1	brm
E(z)	Mi-2
pnr	EP3135
btl|stumps	EP1340
ds	nkd
rpr	Duba
sav	mir-ban
porin	Drp1
CycE	Dad
Trpml	RagA-B
Rbf|Tsc1	E2f1
B-H1	pnt
z|w	e(y)2
BicD	vas
Delta	Rga
Lrrk	Fur1
Ssdp	CG7755
ninaE	BBS9
dom	E(Pc)
Fmr1	Cbl
Pink1	Sirt1|foxo
aop	alph
brat|Tis11	dpn
Prosα6T	Prosα6
pbl	CG6701
tor|trk	cic
kay	Atx2
gcm	psq
skl	grim
sd	HDAC1
esc	trx
Sxl	Myc
Ret	l(3)S046604
Vps29	Rab7
if	jbug
Rala	Jra
Egfr	DCTN1-p150
tut	IntS11
Seipin	Lpin
PRL-1	Akt
N	rumi
wg	CycA
sev	Cat
ap|Bx	pnt
CHES-1-like	bam
mad2	polo
Fmr1	Diap1
rpr	bsk
Pi3K92E	HDAC3
Toll-7	bsk
pbl	stx
Pi3K92E|btl::Egfr	Rok
dsh	ck
da	da::Drer\tcf3a
Egfr	Phb1
DCTN1-p150	EG56
shg	ds
Delta	net
Rac1	shi
faf	S(faf)244
Pi3K21B	Pi3K92E
trx|brm	E(z)
N	Prosβ6
Dys	sli
trx	enok
Antp	ash2
wg	tum
Dcp-1	grim
SCCRO4	SCCRO
Ret	Pink1
Ret	ebi
RacGAP84C	cpo
H	EP3104
tut	bgcn
Abd-B	Scm
Sema1a	sfl
ebd1	upd2
Larp4B	Myc
PlexA	SelR
Csk	Dcr-2
hbs	Psn
ND-42	Sln
park	Parp1
Su(H)	Cdk9
tws|polo	endos
His1	lok
Egfr	sev
Pi3K68D	drk
mir-965	stg
Myc	RpL8
Ras85D	SM3-2
sev	Rap1
cindr	Cul6
trx|brm	esc
Sod1	COX6AL2
egr	slpr::Tak1
gish	ey
fz	numb
enc	eff
peb	ND-PDSW
Wnt5	CadN
Pi3K92E|btl::Egfr	eIF4E1
Utx	E(z)
Fmr1	kay
POSH	Tak1
flw	zip
w	Rga
Rab11	msn
E(z)	aurA
Ras85D	CG6984
Sxl|Mettl3	msl-2
Src42A|Stat92E	Src64B
Ide	Pten
smash	Diap1
Roc1b	Roc1a
aos	lz
unc-104	Nrg
chas	N
Pc	Haspin
gfzf	Prx2
pbl	CG3603
Src64B	Akap200
Ras85D|dlg1	Rheb
gcm	brm
Brd	H
btl	dsh
y	ph-p
GluRIIA	VGlut
knrl	kni
Rho1|kirre	sqh
Dys	grh
sev	cdi
Nf1	Cul3
puc|Moe	hep
pnr	EP1509
CycE	S(CycE<up>JP</up>)2.10
Dref	l(2)10685
gsb|GluRIIA	wg
Abi	Abl
Rbf|Tsc1	Rheb
dpp	lolal
park	AMPKα
aos	ncm
E(z)	sxc
tyn	nyo
Ask1	lic
Wdr59	Nup44A
Adf1	stau
Raf	Rac1
Ras85D	sdt
meru	dsh
Snr1	robo2
chico	rut
Ire1	Atg7
Dronc	eff
sev|Ras85D	HDAC1
bchs	Rab11
faf|lqf	Prosβ6
prom|chp	eys
eyg	H
Pc	lawc
Eaat1	Ncc69
L	NFAT
Trl	Nelf-E
sxc	Oga
trol	Mmp2
rho	Rab5
Dis3	grk
Nlg4	wit
ap|Bx	cbt
Nadk1a	CLS
SkpA	Jra
boi	smo
ZnT63C|Zip42C.1	Zip99C
ph-p	spi
velo	lwr
Nlg2	Nlg1
shi	Sema1a
su(Hw)|ct	Nipped-A
b	qs
Ret	tws
al	gro
S	sty
rk	vn
Syx1A	Csp
Gk1	Gpdh1
wdp	hh
Dd	Mad
cmpy	gbb
if	if::mew
peb	Cyt-c-p
Rbf|psidin	Egfr
Ras85D|l(2)gl	Uev1A
IKKε	Dhc64C
dom	Atg1
Mrtf	bs
sog	rho
Smox	CR6434
Abd-B	gpp
par-1	IKKε
PXo	Strip
mor	EloC
Chchd2	Ucp4A
ct	CG1888
N	trr
l(2)gd1	Rab7
Nab2	Vang
Orc6	Orc6::Hsap\ORC6
lncRNA:roX1	Dcr-2
trc	Cdc42
br	bs
kermit	fz
trk	bcd
Pc	chm
Trim9	robo1
Ras85D	Ctps
Dronc	Usp1
CycB	sqh
ci	Su(hh)III
arm	bi
lok	EP1618
caup	dap
Psc	E(z)
ap|Bx	EP3-612
αCOP	Marf
bs	corto
Raf|RhoGEF2	zip
rpr	lilli
hkb	gcm
kon	Akap200
park	Vps35
fru	dock
sicily	Fatp1
tll	erm
rdgB	inaC
BG02257	foxo
Mgtor	Apc2
mad2|bsk	Dark
osa	htt
Rheb	rictor
Rif1	Pp1-87B
mahj	wts
CycG	corto
tor	Su(tor)3-1
y|mod(mdg4)	Sumo|lwr
coro	Syx1A
Rdl	Fas2
Rheb	Sesn
Psi	stg
Pi3K92E|btl::Egfr	mir-8
Zip42C.1|ZnT63C	Zip42C.2
ap	N
M(3)99E	E(M99E)
Ubx	su(Ubx<up>bx-1</up>)
ct	capu
Snr1	scramb1
bw	Ino80
ssh	tsr
fne	mew|mys
dgo	fz
cnk	Nsf2
spn-B	Hus1-like
peb	l(2)k00611
DAAM	Frl
mtm	kibra
scrib|Ire1	Atg6
Myc	ref(2)P
Dronc	Hsp60D
dom	CG7745
aub	mei-41
Mtl	Vang
N	dsh
mib1	α4GT2
CycB	qua
Nab2	sm
nmo	net
Cdc42	numb
kon	IA-2
brm	par-6
Pink1	Mcad
lt	w
faf	wnd
Ras85D|scrib	Mmp2
pbl	RapGAP1
Arf6|Dcr-2	siz
Dll	disco
Pect	Itpr|Pisd
Dora	Act5C
park	Itpr
pnr	Dlat
N	Apc
pnr	EP1081
L	mirr
CycD|Cdk4	Hph
peb	slbo
Sos|sev	Egfr
peb	blw
ptc	sr
Opa1	Drp1
side	beat-Ia
mys	auk
dco	Ankrd49
hpo	Tgi
aurA	baz
Pten	Pyk
sas	Ptp69D
Ras85D|emei	wts
mir-285	CycE
TrpA1	Sod1
Delta	Mo25
asrij	Marf
aop	retn
comt	ari-1
hiw	Atg6
Src64B	shg
flw	Tm1
smo	E(smoDN)418
br	E(br)72
Raf	wg
btl::Egfr	EP2204
Dref	brm
brm	Sdc
Ret	l(3)S003704
cyst	aPKC
egr	POSH|Rel
gpp	htt
sog|dpp	tsg
ph-p|Pc	eff
Nf1	NAAT1
pnr	EP2433
CSN5	CycE
Psc|Su(z)2	dpp
elav	lncRNA:Hsrω
N	sm
mxc	TotF
scrib	wts
pk	Rok
bw	Mod(Prat:bw)3-6
Uba1	Stat92E
Galt	Galk
l(1)sc	H
loco	pins
Smn	Pcyt2
spn-D	spn-B
SH3PX1	stg
z	Su(z)4
fz	aos
J	RpS3
B-H1	drk
pbl	CG8419
Pink1	trc
LamC	Atg1|cnc
Delta	CoRest
Src42A	Su(tor)278-22
Egfr|psq	btl
cac	Gαq
Rok	sqh
ci	ph-p
Smox	NetA
sli	fra
bgcn	zpg
